./logs/33789148_command_29834.log:command id: command_29834, hostname: nid001833, cpu (hw thread id): 11
./logs/33789148_command_29867.log:command id: command_29867, hostname: nid001833, cpu (hw thread id): 43
./logs/33789148_command_29859.log:command id: command_29859, hostname: nid001833, cpu (hw thread id): 35
./logs/33789147_command_29733.log:command id: command_29733, hostname: nid001772, cpu (hw thread id): 65
./logs/33789147_command_29725.log:command id: command_29725, hostname: nid001772, cpu (hw thread id): 12
./logs/33789147_command_29717.log:command id: command_29717, hostname: nid001772, cpu (hw thread id): 94
./logs/33789148_command_29889.log:command id: command_29889, hostname: nid001833, cpu (hw thread id): 67
./logs/33789148_command_29881.log:command id: command_29881, hostname: nid001833, cpu (hw thread id): 58
./logs/33789147_command_29709.log:command id: command_29709, hostname: nid001772, cpu (hw thread id): 71
./logs/33789147_command_29701.log:command id: command_29701, hostname: nid001772, cpu (hw thread id): 32
./logs/33789148_command_29851.log:command id: command_29851, hostname: nid001833, cpu (hw thread id): 27
./logs/33789146_command_29693.log:command id: command_29693, hostname: nid001357, cpu (hw thread id): 122
./logs/33789146_command_29685.log:command id: command_29685, hostname: nid001357, cpu (hw thread id): 114
./logs/33789146_command_29677.log:command id: command_29677, hostname: nid001357, cpu (hw thread id): 110
./logs/33789146_command_29669.log:command id: command_29669, hostname: nid001357, cpu (hw thread id): 100
./logs/33789146_command_29661.log:command id: command_29661, hostname: nid001357, cpu (hw thread id): 95
./logs/33789146_command_29653.log:command id: command_29653, hostname: nid001357, cpu (hw thread id): 83
./logs/33789146_command_29645.log:command id: command_29645, hostname: nid001357, cpu (hw thread id): 77
./logs/33789148_command_29826.log:command id: command_29826, hostname: nid001833, cpu (hw thread id): 5
./logs/33789147_command_29818.log:command id: command_29818, hostname: nid001772, cpu (hw thread id): 103
./logs/33789146_command_29637.log:command id: command_29637, hostname: nid001357, cpu (hw thread id): 68
./logs/33789146_command_29629.log:command id: command_29629, hostname: nid001357, cpu (hw thread id): 60
./logs/33789146_command_29621.log:command id: command_29621, hostname: nid001357, cpu (hw thread id): 54
./logs/33789148_command_29843.log:command id: command_29843, hostname: nid001833, cpu (hw thread id): 18
./logs/33789148_command_29835.log:command id: command_29835, hostname: nid001833, cpu (hw thread id): 10
./logs/33789148_command_29827.log:command id: command_29827, hostname: nid001833, cpu (hw thread id): 3
./logs/33789146_command_29613.log:command id: command_29613, hostname: nid001357, cpu (hw thread id): 45
./logs/33789146_command_29605.log:command id: command_29605, hostname: nid001357, cpu (hw thread id): 37
./logs/33789147_command_29819.log:command id: command_29819, hostname: nid001772, cpu (hw thread id): 90
./logs/33789146_command_29597.log:command id: command_29597, hostname: nid001357, cpu (hw thread id): 29
./logs/33789147_command_29811.log:command id: command_29811, hostname: nid001772, cpu (hw thread id): 38
./logs/33789146_command_29589.log:command id: command_29589, hostname: nid001357, cpu (hw thread id): 21
./logs/33789147_command_29803.log:command id: command_29803, hostname: nid001772, cpu (hw thread id): 80
./logs/33789146_command_29581.log:command id: command_29581, hostname: nid001357, cpu (hw thread id): 6
./logs/33789147_command_29795.log:command id: command_29795, hostname: nid001772, cpu (hw thread id): 25
./logs/33789146_command_29573.log:command id: command_29573, hostname: nid001357, cpu (hw thread id): 11
./logs/33789147_command_29787.log:command id: command_29787, hostname: nid001772, cpu (hw thread id): 1
./logs/33789145_command_29565.log:command id: command_29565, hostname: nid001353, cpu (hw thread id): 25
./logs/33789147_command_29779.log:command id: command_29779, hostname: nid001772, cpu (hw thread id): 93
./logs/33789145_command_29557.log:command id: command_29557, hostname: nid001353, cpu (hw thread id): 38
./logs/33789145_command_29549.log:command id: command_29549, hostname: nid001353, cpu (hw thread id): 95
./logs/33789145_command_29541.log:command id: command_29541, hostname: nid001353, cpu (hw thread id): 116
./logs/33789145_command_29533.log:command id: command_29533, hostname: nid001353, cpu (hw thread id): 81
./logs/33789145_command_29525.log:command id: command_29525, hostname: nid001353, cpu (hw thread id): 99
./logs/33789145_command_29517.log:command id: command_29517, hostname: nid001353, cpu (hw thread id): 59
./logs/33789145_command_29509.log:command id: command_29509, hostname: nid001353, cpu (hw thread id): 67
./logs/33789145_command_29501.log:command id: command_29501, hostname: nid001353, cpu (hw thread id): 4
./logs/33789145_command_29493.log:command id: command_29493, hostname: nid001353, cpu (hw thread id): 110
./logs/33789145_command_29485.log:command id: command_29485, hostname: nid001353, cpu (hw thread id): 23
./logs/33789145_command_29477.log:command id: command_29477, hostname: nid001353, cpu (hw thread id): 9
./logs/33789145_command_29469.log:command id: command_29469, hostname: nid001353, cpu (hw thread id): 74
./logs/33789145_command_29461.log:command id: command_29461, hostname: nid001353, cpu (hw thread id): 96
./logs/33789145_command_29453.log:command id: command_29453, hostname: nid001353, cpu (hw thread id): 78
./logs/33789145_command_29445.log:command id: command_29445, hostname: nid001353, cpu (hw thread id): 123
./logs/33789144_command_29437.log:command id: command_29437, hostname: nid001330, cpu (hw thread id): 37
./logs/33789144_command_29429.log:command id: command_29429, hostname: nid001330, cpu (hw thread id): 50
./logs/33789147_command_29771.log:command id: command_29771, hostname: nid001772, cpu (hw thread id): 119
./logs/33789147_command_29763.log:command id: command_29763, hostname: nid001772, cpu (hw thread id): 4
./logs/33789147_command_29755.log:command id: command_29755, hostname: nid001772, cpu (hw thread id): 97
./logs/33789144_command_29421.log:command id: command_29421, hostname: nid001330, cpu (hw thread id): 95
./logs/33789144_command_29413.log:command id: command_29413, hostname: nid001330, cpu (hw thread id): 3
./logs/33789144_command_29405.log:command id: command_29405, hostname: nid001330, cpu (hw thread id): 60
./logs/33789144_command_29397.log:command id: command_29397, hostname: nid001330, cpu (hw thread id): 31
./logs/33789144_command_29389.log:command id: command_29389, hostname: nid001330, cpu (hw thread id): 19
./logs/33789144_command_29381.log:command id: command_29381, hostname: nid001330, cpu (hw thread id): 6
./logs/33789144_command_29373.log:command id: command_29373, hostname: nid001330, cpu (hw thread id): 90
./logs/33789144_command_29365.log:command id: command_29365, hostname: nid001330, cpu (hw thread id): 115
./logs/33789144_command_29357.log:command id: command_29357, hostname: nid001330, cpu (hw thread id): 106
./logs/33789148_command_29847.log:command id: command_29847, hostname: nid001833, cpu (hw thread id): 26
./logs/33789148_command_29839.log:command id: command_29839, hostname: nid001833, cpu (hw thread id): 12
./logs/33789148_command_29831.log:command id: command_29831, hostname: nid001833, cpu (hw thread id): 7
./logs/33789147_command_29823.log:command id: command_29823, hostname: nid001772, cpu (hw thread id): 122
./logs/33789147_command_29815.log:command id: command_29815, hostname: nid001772, cpu (hw thread id): 113
./logs/33789147_command_29807.log:command id: command_29807, hostname: nid001772, cpu (hw thread id): 31
./logs/33789148_command_29920.log:command id: command_29920, hostname: nid001833, cpu (hw thread id): 93
./logs/33789148_command_29912.log:command id: command_29912, hostname: nid001833, cpu (hw thread id): 83
./logs/33789148_command_29904.log:command id: command_29904, hostname: nid001833, cpu (hw thread id): 76
./logs/33789148_command_29896.log:command id: command_29896, hostname: nid001833, cpu (hw thread id): 77
./logs/33789148_command_29888.log:command id: command_29888, hostname: nid001833, cpu (hw thread id): 63
